release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms
2021,0.612,0.884,5.0,-4.4,1.0,0.0459,0.00516,0.0,0.0997,0.626,119.991,4.0,245626.0
2022,0.759,0.459,8.0,-5.187,1.0,0.0948,0.00323,0.0,0.0788,0.695,109.997,4.0,164952.0
2021,0.773,0.623,2.0,-5.267,1.0,0.196,0.00194,0.0,0.133,0.13,153.1,4.0,150527.0
2021,0.52,0.552,6.0,-7.178,0.0,0.489,0.211,0.0,0.139,0.554,172.306,4.0,213749.0
2021,0.571,0.525,6.0,-7.785,0.0,0.343,0.161,0.0,0.164,0.306,119.205,5.0,141573.0
2021,0.598,0.664,2.0,-5.086,1.0,0.426,0.011,0.0,0.539,0.315,149.17,4.0,198591.0
2021,0.664,0.692,1.0,-4.128,0.0,0.127,0.237,0.0,0.0798,0.233,154.924,4.0,257369.0
2021,0.808,0.903,9.0,-2.179,1.0,0.0729,0.0899,0.0,0.0816,0.922,120.044,4.0,198053.0
2021,0.893,0.638,8.0,-7.959,1.0,0.32,0.0852,0.0,0.139,0.584,79.944,4.0,180000.0
2021,0.65,0.597,8.0,-5.544,0.0,0.313,0.342,0.0,0.104,0.808,90.635,4.0,234667.0
2021,0.559,0.532,5.0,-7.679,0.0,0.353,0.174,0.0,0.136,0.529,85.843,5.0,186060.0
2021,0.462,0.615,1.0,-6.429,1.0,0.215,0.23,0.0,0.0928,0.307,90.068,4.0,182251.0
2021,0.568,0.56,9.0,-9.059,1.0,0.42,0.228,3.05e-06,0.39,0.246,130.019,4.0,308756.0
2021,0.73,0.576,2.0,-5.442,1.0,0.287,0.354,3.59e-05,0.15,0.155,92.131,4.0,228461.0
2021,0.657,0.496,5.0,-7.346,1.0,0.0889,0.213,0.0,0.12,0.352,146.061,4.0,157845.0
2021,0.606,0.671,10.0,-7.529,0.0,0.352,0.415,0.0,0.176,0.642,168.201,4.0,148571.0
2021,0.659,0.683,3.0,-5.623,1.0,0.0312,0.513,4.93e-06,0.133,0.397,139.931,4.0,203373.0
2021,0.558,0.635,2.0,-7.024,1.0,0.476,0.256,0.0,0.12,0.58,139.575,4.0,178286.0
2021,0.772,0.786,2.0,-5.874,1.0,0.366,0.0825,0.0,0.347,0.668,78.517,4.0,161309.0
2021,0.764,0.702,10.0,-6.837,0.0,0.269,0.175,0.0,0.0934,0.873,85.953,4.0,135000.0
2021,0.723,0.549,5.0,-6.743,1.0,0.0641,0.658,0.0,0.0886,0.526,149.991,4.0,192000.0
2021,0.586,0.516,7.0,-7.018,1.0,0.341,0.159,0.0,0.135,0.505,110.343,5.0,174545.0
2021,0.607,0.565,5.0,-7.417,0.0,0.412,0.0824,0.0,0.185,0.373,107.981,5.0,177778.0
2021,0.827,0.731,4.0,-5.524,0.0,0.088,0.13,0.0,0.418,0.607,118.992,4.0,172833.0
2021,0.615,0.633,6.0,-7.053,1.0,0.373,0.115,0.0,0.31,0.509,174.075,4.0,188752.0
2021,0.882,0.644,10.0,-8.341,1.0,0.51,0.103,0.0,0.094,0.475,148.133,4.0,155676.0
2021,0.507,0.429,2.0,-7.726,1.0,0.326,0.0518,0.0,0.109,0.0744,91.0,3.0,273578.0
2021,0.715,0.676,10.0,-7.869,0.0,0.1,0.124,0.0,0.0952,0.721,73.462,4.0,160000.0
2021,0.518,0.69,9.0,-6.15,1.0,0.107,0.128,0.0,0.176,0.59,77.837,4.0,205721.0
2021,0.701,0.741,2.0,-6.157,1.0,0.313,0.112,0.0,0.699,0.588,140.177,4.0,178623.0
2021,0.633,0.534,1.0,-8.605,1.0,0.229,0.0524,0.0,0.189,0.29,155.111,4.0,123871.0
2021,0.319,0.236,5.0,-9.644,1.0,0.0318,0.898,1.62e-05,0.272,0.254,162.351,4.0,156091.0
2021,0.583,0.67,8.0,-7.289,1.0,0.0646,0.0374,0.0001,0.126,0.498,140.061,4.0,220433.0
2019,0.45,0.329,9.0,-12.603,0.0,0.0441,0.818,0.00109,0.135,0.266,71.884,3.0,183624.0
2021,0.841,0.527,6.0,-8.116,1.0,0.149,0.0427,1.54e-06,0.12,0.582,163.975,4.0,174164.0
2021,0.923,0.533,11.0,-6.016,0.0,0.262,0.0504,0.0,0.102,0.587,133.991,4.0,145075.0
2021,0.718,0.628,0.0,-5.334,1.0,0.373,0.0884,0.0,0.186,0.771,139.769,4.0,154433.0
