release_date,release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,popularity,peak-rank
8/3/2021,day,0.725,0.86,1,-3.726,1,0.182,0.422,0.000284,0.0674,0.791,175.896,4,230125,83,22
9/27/2019,day,0.757,0.705,2,-5.084,1,0.0252,0.0375,5.80E-06,0.114,0.855,104.972,4,207161,67,74
7/9/2021,day,0.893,0.463,1,-5.301,1,0.36,0.199,0,0.318,0.591,81.026,4,229601,70,16
6/2/2021,day,0.829,0.512,6,-5.865,0,0.187,0.492,0,0.12,0.638,80.511,4,123987,81,51
5/21/2021,day,0.735,0.446,5,-10.232,1,0.109,0.0071,1.93E-05,0.173,0.121,150.915,4,199093,67,68
10/6/2021,day,0.437,0.184,1,-17.667,1,0.0313,0.72,0.00253,0.113,0.247,80.088,4,136000,76,67
9/30/2021,day,0.778,0.934,9,-3.488,1,0.321,0.184,0,0.123,0.803,98.97,4,183333,60,79
8/29/2021,day,0.798,0.545,1,-6.466,1,0.168,0.00904,9.48E-05,0.258,0.212,118.029,4,226653,81,20
10/5/2021,day,0.639,0.703,4,-6.33,0,0.0794,0.0889,1.78E-06,0.0865,0.138,169.888,4,207301,88,51
7/10/2020,day,0.563,0.847,1,-4.493,1,0.0468,0.0891,0,0.121,0.666,96.06,4,212720,68,82
9/24/2021,day,0.442,0.517,9,-7.807,1,0.0548,0.0699,0,0.114,0.2,79.867,4,193822,75,83
6/11/2021,day,0.95,0.693,9,-3.424,1,0.0898,0.0133,0,0.173,0.891,130.02,4,184635,72,16
6/25/2021,day,0.637,0.932,8,-3.545,1,0.0354,0.06,3.23E-06,0.138,0.771,95.511,4,181200,56,85
6/25/2021,day,0.912,0.655,8,-6.029,0,0.162,0.315,3.39E-05,0.0894,0.793,91.942,4,138293,81,68
10/22/2021,day,0.736,0.532,1,-7.151,1,0.265,0.0292,8.86E-06,0.0806,0.273,84.983,4,165773,65,87
9/24/2021,day,0.935,0.807,11,-3.838,0,0.114,0.0514,0,0.349,0.813,106.017,4,173182,78,88
3/20/2020,day,0.57,0.618,10,-4.966,1,0.0445,0.153,0,0.159,0.286,138.034,4,231832,69,89
9/10/2021,day,0.831,0.554,1,-9.998,0,0.218,0.161,6.12E-05,0.152,0.396,140.026,4,168228,80,90
9/3/2021,day,0.84,0.744,1,-4.751,1,0.113,0.0181,0,0.629,0.171,83.737,4,204347,74,11
,,,,,,,,,,,,,,,,92
9/17/2021,day,0.704,0.778,5,-5.331,1,0.0971,0.00447,0,0.0731,0.821,101.025,4,183537,67,93
9/3/2021,day,0.686,0.385,7,-8.35,0,0.297,0.614,0,0.131,0.147,143.07,4,296568,72,7
9/30/2020,day,0.53,0.524,4,-5.751,1,0.0327,0.544,0,0.11,0.514,150.05,4,179214,66,95
7/30/2021,day,0.475,0.805,10,-4.456,1,0.0377,0.000453,0,0.143,0.488,145.976,4,199680,66,96
6/25/2021,day,0.855,0.488,3,-4.601,1,0.208,0.506,0,0.347,0.619,124.097,4,174253,80,24
5/28/2021,day,0.7,0.49,0,-5.187,1,0.076,0.186,0,0.117,0.569,79.982,4,161803,79,91
6/18/2021,day,0.612,0.423,5,-8.062,0,0.0508,0.588,0,0.117,0.18,135.841,5,214093,66,64
10/5/2021,day,0.777,0.59,0,-8.741,0,0.286,0.397,0,0.169,0.238,147.978,4,155738,73,58
